fips,name,count_property,count_heatfactor1,count_heatfactor2,count_heatfactor3,count_heatfactor4,count_heatfactor5,count_heatfactor6,count_heatfactor7,count_heatfactor8,count_heatfactor9,count_heatfactor10
01,Alabama,3019110,0,0,2964,74874,645073,1079732,590769,318629,185787,121282
05,Arkansas,1923556,0,37,13930,266894,513075,836187,291752,1681,0,0
04,Arizona,3225763,16992,87721,82437,115625,119140,209693,220733,684023,1670104,19295
06,California,11341358,308542,510859,909520,1795513,1834300,1887051,2219233,1532890,206187,137263
08,Colorado,2491326,403675,402680,1328110,275083,81396,382,0,0,0,0
09,Connecticut,1152158,25,4108,83809,311960,450645,266359,35112,140,0,0
11,District of Columbia,136539,0,0,0,0,0,19816,93732,22991,0,0
10,Delaware,423020,0,0,0,0,6,30119,117004,268321,7570,0
12,Florida,8906820,0,0,0,0,0,0,2710,1984743,2653130,4266237
13,Georgia,4413839,849,4370,41946,225965,1550304,1152205,739872,431565,140213,126550
19,Iowa,2426996,45592,856734,1504232,20430,8,0,0,0,0,0
16,Idaho,1036915,74663,238284,267065,254974,200099,1829,1,0,0,0
17,Illinois,5242398,992,948327,3097095,668347,488645,38604,385,3,0,0
18,Indiana,3512391,484,634380,1838604,707071,320242,11580,29,1,0,0
20,Kansas,1633521,0,1,33980,762950,822092,14492,6,0,0,0
21,Kentucky,2029296,308,2025,85884,981781,854051,103736,1509,2,0,0
22,Louisiana,2365184,0,0,0,0,0,59828,508110,845336,566013,385897
25,Massachusetts,2182311,15063,81672,221897,618627,946997,295361,2688,6,0,0
24,Maryland,2192534,7364,22382,12817,27945,196888,553994,557355,679294,131813,2682
23,Maine,684357,64784,108920,251328,240951,18370,4,0,0,0,0
26,Michigan,4634490,916737,2179521,1529138,9093,1,0,0,0,0,0
27,Minnesota,2964704,1154327,1790830,19544,3,0,0,0,0,0,0
29,Missouri,3191502,0,6,261956,1667006,1158926,103456,149,3,0,0
28,Mississippi,1904494,0,0,0,0,11646,583609,815927,235217,72508,185587
30,Montana,893972,149479,368263,361268,14962,0,0,0,0,0,0
37,North Carolina,5450304,121181,123201,192666,261430,1142287,1816858,825906,421841,508465,36469
38,North Dakota,679022,208968,464583,5471,0,0,0,0,0,0,0
31,Nebraska,1138191,17,117108,964181,56881,4,0,0,0,0,0
33,New Hampshire,580661,36220,122617,217483,187844,16448,48,1,0,0,0
34,New Jersey,3449541,0,36,25651,141086,198421,1187433,1482070,391618,23226,0
35,New Mexico,1495381,94580,151488,164404,311582,528290,243404,1633,0,0,0
32,Nevada,1209304,17098,12788,45929,207069,87332,38004,239086,558417,3581,0
36,New York,5376330,477054,1355267,917086,609242,624400,952127,426775,14379,0,0
39,Ohio,6061948,3375,678887,3847767,1355106,176486,322,5,0,0,0
40,Oklahoma,2215755,0,25,634,12726,494026,1499993,208271,80,0,0
41,Oregon,1807336,200729,216495,906779,286102,106554,84553,6124,0,0,0
42,Pennsylvania,5726734,142549,695805,1386811,1088878,1132494,1023006,256775,416,0,0
44,Rhode Island,383802,0,0,3726,57989,258214,63743,130,0,0,0
45,South Carolina,2615495,182,716,625,6252,240155,1028401,561798,250553,324279,202534
46,South Dakota,666388,82723,350313,227682,5670,0,0,0,0,0,0
47,Tennessee,3278734,3928,11574,125423,401304,1330356,1265334,140251,564,0,0
48,Texas,11957648,64,481,2315,124188,461860,1102535,4025751,2962756,2677096,600602
49,Utah,1363459,66864,82390,202304,786828,122698,34752,67605,18,0,0
51,Virginia,3795418,18066,107716,253418,259537,518760,683186,862139,517534,572595,2467
50,Vermont,312306,104103,145796,62323,83,1,0,0,0,0,0
53,Washington,3029931,252597,815674,1559653,252138,147697,2172,0,0,0,0
55,Wisconsin,3379083,1585478,1751753,41848,4,0,0,0,0,0,0
54,West Virginia,1432244,40269,149731,344552,552781,320032,24874,5,0,0,0
56,Wyoming,339207,70214,148304,110896,9787,6,0,0,0,0,0
